Store Name,Store Number,Phone Number,Address,Url,Longitude,Latitude,City,State
"Family Dollar Store at Abbeville, AL",21428,334-575-6000,"514 Kirkland Street

Abbeville, AL 36310-2417",https://www.familydollar.com/locations/al/abbeville/21428/,-85.2512107,31.56763268,abbeville,al
"Family Dollar Store at Albertville, AL",22721,256-744-7246,"315 Sand Mountain Dr E

Albertville, AL 35950-2329",https://www.familydollar.com/locations/al/albertville/22721/,-86.206143,34.265782,albertville,al
"Family Dollar Store at Alexandria, AL",33570,356-342-0222,"6201 Us Highway 431

Alexandria, AL 36250-5046",https://www.familydollar.com/locations/al/alexandria/33570/,-85.891765,33.762459,alexandria,al
"Family Dollar Store at Aliceville, AL",20567,205-779-1346,"35 Memorial Pky E

Aliceville, AL 35442-2155",https://www.familydollar.com/locations/al/aliceville/20567/,-88.151062,33.127951,aliceville,al
"Family Dollar Store at Altoona, AL",33788,--,"3200 Main St.

Altoona, AL 35952",https://www.familydollar.com/locations/al/altoona/33788/,-86.3199,34.0295,altoona,al
"Family Dollar Store at Anderson, AL",32935,256-867-6168,"7198 Al Highway 207

Anderson, AL 35610",https://www.familydollar.com/locations/al/anderson/32935/,-87.26869,34.92374,anderson,al
"Family Dollar Store at Anniston, AL",20552,256-954-5664,"1718 Quintard Ave

Anniston, AL 36201-3851",https://www.familydollar.com/locations/al/anniston/20552/,-85.828,33.66706,anniston,al
"Family Dollar Store at Ashford, AL",33515,334-547-6566,"73 N Broadway Street

Ashford, AL 36312",https://www.familydollar.com/locations/al/ashford/33515/,-85.238725,31.17744,ashford,al
"Family Dollar Store at Ashville, AL",32668,205-702-9246,"35360 Us Highway 231

Ashville, AL 35953",https://www.familydollar.com/locations/al/ashville/32668/,-86.26559,33.8429,ashville,al
"Family Dollar Store at Athens, AL",20489,256-867-6687,"515 S Jefferson St  Ste B

Athens, AL 35611-3541",https://www.familydollar.com/locations/al/athens/20489/,-86.971662,34.798594,athens,al
"Family Dollar Store at Atmore, AL",21089,251-655-5013,"500 E Church St

Atmore, AL 36502-2626",https://www.familydollar.com/locations/al/atmore/21089/,-87.488465,31.02144,atmore,al
